Country Code,Translation
RO,gaz cu efect de seră
SK,skleníkový plyn
SL,toplogredni plin
CS,Mezivládní panel pro změnu klimatu
DA,Det Mellemstatslige Panel om Klimaændringer
DE,Zwischenstaatliche Sachverständigengruppe für Klimafragen
EL,Διακυβερνητική επιτροπή για την κλιματική αλλαγή
ES,Grupo Intergubernamental de Expertos sobre el Cambio Climático
ET,valitsustevaheline kliimamuutuste rühm
FI,hallitustenvälinen ilmastonmuutospaneeli
FR,Groupe d’experts intergouvernemental sur l’évolution du climat
HU,Éghajlat-változási Kormányközi Testület
IT,Gruppo intergovernativo di esperti sul cambiamento climatico
LT,Tarpvyriausybinė klimato kaitos komisija
LV,Klimata pārmaiņu starpvaldību padome
MT,Grupp Intergovernattiv ta’ Esperti dwar it-Tibdil fil-Klima
NL,Intergouvernementele Werkgroep inzake klimaatverandering
PL,Międzyrządowy Zespół ds. Zmian Klimatu
PT,Painel Intergovernamental sobre as Alterações Climáticas
RO,Grupul interguvernamental privind schimbările climatice
SK,Medzivládny panel o zmene klímy
SL,Medvladni odbor za podnebne spremembe
CS,společné provádění
DA,fælles gennemførelse
DE,Gemeinsame Umsetzung
EL,από κοινού εφαρμογή
ES,aplicación conjunta
ET,ühisrakendus
FI,yhteistoteutus
FR,mise en œuvre conjointe
GA,cur chun feidhme ar bhonn comhpháirteach EN Joint Implementation (JI)
IT,attuazione congiunta
LT,bendras įgyvendinimas
LV,kopīga īstenošana
MT,implimentazzjoni konġunta
NL,gezamenlijke uitvoering
PL,mechanizm wspólnego wdrożenia
PT,Implementação Conjunta
RO,implementare în comun
SK,spoločné plnenie
SL,skupno izvajanje
CS,Kjótský protokol k Rámcové úmluvě Organizace spojených národů o změně klimatu
DA,Kyotoprotokollen til De Forenede Nationers rammekonvention om klimaændringer
DE,Protokoll von Kyoto zum Rahmenübereinkommen der Vereinten Nationen über Klimaänderungen
EL,Πρωτόκολλο του Κιότο στη Σύμβαση-πλαίσιο των Ηνωμένων Εθνών για την αλλαγή του κλίματος
ES,Protocolo de Kyoto de la Convención Marco de las Naciones Unidas sobre el Cambio Climático
ET,Ühinenud Rahvaste Organisatsiooni kliimamuutuste raamkonventsiooni Kyoto protokoll
FI,ilmastonmuutosta koskevan Yhdistyneiden Kansakuntien puitesopimuksen Kioton pöytäkirja
FR,Protocole de Kyoto à la Convention-cadre des Nations unies sur les changements climatiquesEN KyotoProtocoltotheUnitedNations Framework Convention onClimate Change KyotoProtocol
HU,Kiotói Jegyzőkönyv az Egyesült Nemzetek Éghajlat-változási Keretegyezményéhez
IT,Protocollo di Kyoto alla convenzione quadro delle Nazioni Unite sui cambiamenti climatici
LT,Jungtinių Tautų bendrosios klimato kaitos konvencijos Kioto protokolas
LV,Apvienoto Nāciju Organizācijas Vispārējās konvencijas par klimata pārmaiņām Kioto protokols
MT,Protokoll ta’ Kjoto għall-Konvenzjoni Qafas tan-Nazzjonijiet Uniti dwar it-Tibdil fil-Klima
NL,Protocol van Kyoto bij het Raamverdrag van de Verenigde Naties inzake klimaatverandering
PL,Protokół z Kioto do Ramowej konwencji Narodów Zjednoczonych w sprawie zmian klimatu
PT,Protocolo de Quioto à Convenção-Quadro das Nações Unidas sobre Alterações Climáticas
RO,Protocolul de la Kyoto la Convenţia-cadru a Organizaţiei Naţiunilor Unite asupra schimbărilor climatice
SK,Kjótsky protokol k Rámcovému dohovoru Organizácie Spojených národov o zmene klímy
SL,Kjotski protokol k Okvirni konvenciji Združenih narodov o spremembi podnebja
SV,Kyotoprotokollet till Förenta nationernas
CS,nízkouhlíková technologie
DA,lav-CO2-teknologi
DE,CO2-arme Technologie Technologie mit geringem CO2-Ausstoß
EL,τεχνολογία χαμηλών εκπομπών διοξειδίου του άνθρακα
ES,tecnología de baja emisión de carbono
ET,vähese CO 2-heitega tehnoloogia
FI,vähähiilinen teknologia
FR,technologie à faible émission de carbone technologie sobre en carbone
GA,teicneolaíocht ísealcharbóin
HU,alacsony szén-dioxid-kibocsátású technológia EN low-carbon technology Technology which results in reduced emissions of carbon dioxide compared
LT,mažo anglies dioksido kiekio technologija
LV,zemas oglekļa emisijas tehnoloģija
MT,teknoloġija b’emissjoni baxxa ta’ karbonju
NL,koolstofarme technologie
PL,technologia niskoemisyjna
PT,tecnologia hipocarbónica tecnologia de baixo carbono
RO,tehnologie cu emisii reduse de dioxid de carbon
SK,nízkouhlíková technológia
SL,nizkoogljična tehnologija
CS,propad
DA,dræn
DE,Senke
EL,καταβόθρα
ES,sumidero
ET,siduja
FI,nielu
FR,puits
GA,linn
HU,nyelő
LT,absorbentas
LV,piesaistītājs
MT,bir
NL,put
PL,pochłaniacz
PT,sumidouro
RO,mijloc de absorbţie
SK,záchyt
SL,ponor
EN,climate change
EN,adaptation to climate change
EN,carbon leakage
EN,carbon market
EN,carbon offset
EN,certified emission reduction unit
EN,Clean Development Mechanism
EN,climate change mitigation
EN,commitment period
EN,emission allowance
EN,emission reduction unit
EN,emissions reduction
EN,emissions abatement
EN,emissions trading
EN,EU Emissions Trading Scheme
EN,Green Climate Fund
EN,greenhouse gas
EN,Intergovernmental Panel on Climate Change
EN,Joint Implementation
EN,Kyoto Protocol to the United Nations Framework Convention on Climate Change Kyoto Protocol
EN,low-carbon technology
BG,изместване на въглеродни емисии
BG,пазар на въглеродни емисии
BG,въглеродна компенсация
BG,удостоверено намаление на емисии
BG,механизъм за чисто развитие
BG,изменение на климата
BG,смекчаване на последиците от изменението на климата
BG,период на задължения
BG,квота за емисии
BG,единица намаление на емисии
BG,намаляване на емисиите
BG,търговия с квоти за емисии търговия с емисии
BG,схема за търговия с емисии на ЕС
BG,Зелен фонд за климата
BG,парников газ
BG,Междуправителствен комитет по изменение на климата
BG,съвместно изпълнение
BG,Протокол от Киото към Рамковата конвенция на Обединените нации по изменение на климата
BG,технология с ниски нива на въглеродни емисии
BG,поглътител
